rank_nb2,rank_nb1,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_hbd,n_hba,n_rotb,n_rings,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,n_alpha_h,qed,category,ani_energy,elec_proxy,method,conformer_ok,nb2_score
66,170,147646,O=CC(Cl)C=O,KTRZQCIGJUWSGE-UHFFFAOYSA-N,2-chloropropanedial,106.508,-0.0083999999999999,34.14,0,2,2,0,2,2,2,2,0,0,0.2819719532869355,Dialdehyde (aliphatic),-726.6452026367188,14.45696359767592,ani2x_gasteiger,True,73.84662718430947
67,82,151833654,O=CCC(=O)CCF,SFEUVZGLLDEZHV-UHFFFAOYSA-N,5-fluoro-3-oxopentanal,118.10699999999996,0.5041,34.14,0,2,4,0,2,3,2,2,1,1,0.3976955057999792,Fluoro-dialdehyde,-444.9004821777344,13.445756129037074,ani2x_gasteiger,True,73.1240639299912
68,160,133084038,O=CCC(=O)C=P,XDCOWFFFABFLNA-UHFFFAOYSA-N,3-oxo-4-phosphanylidenebutanal,116.05599999999998,0.0894999999999999,34.14,0,2,3,0,2,2,2,2,0,1,0.2972348650142214,Dialdehyde (aliphatic),,14.671115945145354,gasteiger,True,72.94075658045328
69,92,27357,O=C1CC(=O)C1,PZQGSZRQKQZCOJ-UHFFFAOYSA-N,"cyclobutane-1,3-dione",84.074,-0.0816,34.14,0,2,0,1,2,4,2,2,0,0,0.3844924934297086,Dialdehyde (cyclic),-305.1636657714844,14.71264958766466,ani2x_gasteiger,True,72.76506807517234
70,49,20149005,O=CC(C=O)(C=O)C=O,SLSCQBWTJWXIDO-UHFFFAOYSA-N,methanetetracarbaldehyde,128.08299999999997,-1.2316000000000005,68.28,0,4,4,0,4,4,4,4,0,0,0.3508124648423263,Dialdehyde (aliphatic),-493.6429138183594,14.721392598175182,ani2x_gasteiger,True,72.72808488864986
71,158,148547216,O=CCC(=O)CC(=O)CC=O,UTSUXDVXTMSRME-UHFFFAOYSA-N,"3,5-dioxoheptanedial",156.137,-0.3073000000000001,68.28,0,4,6,0,4,6,4,4,0,2,0.3905407235633443,Dialdehyde (aliphatic),-572.2784423828125,13.684222020879384,ani2x_gasteiger,True,72.61534633247277
72,5,88107591,O=CCC(F)(F)CC=O,NHGCSHZAUNOUMF-UHFFFAOYSA-N,"3,3-difluoropentanedial",136.09699999999998,0.7997000000000001,34.14,0,2,4,0,2,2,2,2,2,2,0.5354396903671274,Fluoro-dialdehyde,-544.1236572265625,12.549965083281378,ani2x_gasteiger,True,71.91328587939569
73,189,20303419,O=CC(I)C=O,CTDBHYCWOSCODO-UHFFFAOYSA-N,2-iodopropanedial,197.959,0.1878,34.14,0,2,2,0,2,2,2,2,0,0,0.2743750817312544,Dialdehyde (aliphatic),,13.948401496397825,gasteiger,True,71.49785953467591
74,110,54556568,O=CC1C(=O)CC1=O,KUDQAKZEXFDYGO-UHFFFAOYSA-N,"2,4-dioxocyclobutane-1-carbaldehyde",112.084,-0.6566000000000001,51.21,0,3,1,1,3,5,3,3,0,0,0.334075944776561,Dialdehyde (cyclic),-418.4483642578125,15.075192842186121,ani2x_gasteiger,True,71.23149965634275
75,186,74945,O=CC(Br)C=O,SURMYNZXHKLDFO-UHFFFAOYSA-N,2-bromopropanedial,150.959,0.1477,34.14,0,2,2,0,2,2,2,2,0,0,0.3194016135450022,Dialdehyde (aliphatic),,14.03042117131137,gasteiger,True,71.15091394514589
76,12,53648154,CC(=O)COC(C)C=O,AKUJDKOSSRMSGR-UHFFFAOYSA-N,2-(2-oxopropoxy)propanal,130.14299999999997,0.1793999999999997,43.370000000000005,0,3,4,0,2,3,2,2,0,0,0.509671666249089,Dialdehyde (aliphatic),-460.1838073730469,15.146077791465334,ani2x_gasteiger,True,70.93165427726261
77,135,4451502,O=CC(O)C=O,NVXLIZQNSVLKPO-UHFFFAOYSA-N,2-hydroxypropanedial,88.062,-1.2549,54.370000000000005,1,3,2,0,2,2,2,2,0,0,0.3385230778262081,Dialdehyde (aliphatic),-342.2637634277344,15.529493541473032,ani2x_gasteiger,True,69.30979460076749
78,125,21301831,COC(C=O)C=O,JBDLAPGGRNEDKV-UHFFFAOYSA-N,2-methoxypropanedial,102.089,-0.6008,43.370000000000005,0,3,3,0,2,2,2,2,0,0,0.3527264543561535,Dialdehyde (aliphatic),-381.5571594238281,15.557045067150371,ani2x_gasteiger,True,69.19325085283565
79,156,21982668,O=CCC(=O)S,UFFXANOZIQVDFC-UHFFFAOYSA-N,3-oxopropanethioic S-acid,104.12999999999998,0.0317999999999999,34.14,1,2,2,0,2,2,2,2,0,1,0.3045123699503342,Dialdehyde (aliphatic),-665.2534790039062,16.01304337775383,ani2x_gasteiger,True,67.26436485244886
80,102,59148751,O=CCC(=O)CF,ZFNHTILTQUKZED-UHFFFAOYSA-N,4-fluoro-3-oxobutanal,104.08,0.1139999999999999,34.14,0,2,3,0,2,3,2,2,1,1,0.3759940614485898,Fluoro-dialdehyde,-405.5916442871094,14.865015975448465,ani2x_gasteiger,True,67.12055386208951
81,79,147247143,CC(F)C(=O)CC=O,CLYAZXUCEQBUHA-UHFFFAOYSA-N,4-fluoro-3-oxopentanal,118.107,0.5025000000000001,34.14,0,2,3,0,2,3,2,2,1,1,0.399207155441389,Fluoro-dialdehyde,-444.90625,15.005615949303062,ani2x_gasteiger,True,66.52581191915561
82,148,12632821,O=CC(Cl)(Cl)C=O,RSMCOTLYKXKPCQ-UHFFFAOYSA-N,"2,2-dichloropropanedial",140.953,0.5581,34.14,0,2,2,0,2,2,2,2,0,0,0.3194723065440454,Dialdehyde (aliphatic),-1186.2188720703125,16.28851494395466,ani2x_gasteiger,True,66.09911218551197
83,83,123864038,CC(C=O)C(=O)CF,RHEGWTVWDLJGQE-UHFFFAOYSA-N,4-fluoro-2-methyl-3-oxobutanal,118.107,0.36,34.14,0,2,3,0,2,3,2,2,1,0,0.3957725858614363,Fluoro-dialdehyde,-444.8982849121094,15.145199265095904,ani2x_gasteiger,True,65.9353704691334
84,55,20545621,CC(=O)CC(=O)S,QPLPMPAMOJIAMN-UHFFFAOYSA-N,3-oxobutanethioic S-acid,118.157,0.4219,34.14,1,2,2,0,2,3,2,2,0,0,0.4209657556391779,Dialdehyde (aliphatic),-704.5697631835938,16.518745447105353,ani2x_gasteiger,True,65.1252305195872
85,21,422853,CC(=O)CC(=O)CF,CVZIHXRHSDYALS-UHFFFAOYSA-N,"1-fluoropentane-2,4-dione",118.107,0.5041,34.14,0,2,3,0,2,4,2,2,1,0,0.5056107439495612,Fluoro-dialdehyde,-444.9099426269531,15.370704296907745,ani2x_gasteiger,True,64.9814776832084
86,63,22501478,O=CCCC(=O)C=O,VUSMENNBCBGZQI-UHFFFAOYSA-N,2-oxopentanedial,114.09999999999998,-0.2664999999999999,51.21,0,3,4,0,3,2,3,3,0,1,0.3732312969786292,Dialdehyde (aliphatic),-419.67144775390625,16.6754315627701,ani2x_gasteiger,True,64.46244373302926
87,185,20144580,C#CC(=O)CC=O,WJGOFAAQNVZMIP-UHFFFAOYSA-N,3-oxopent-4-ynal,96.085,-0.2222999999999999,34.14,0,2,2,0,2,2,2,2,0,1,0.2059338586682534,Dialdehyde (aliphatic),-343.1915283203125,16.98397881300963,ani2x_gasteiger,True,63.157279969029226
88,44,118437747,CC(=O)CCC(=O)C=O,YEJDUVJLIVLCFZ-UHFFFAOYSA-N,"2,5-dioxohexanal",128.12699999999998,0.1235999999999999,51.21,0,3,4,0,3,3,3,3,0,0,0.3989407471526497,Dialdehyde (aliphatic),-458.9890441894531,17.004115148921457,ani2x_gasteiger,True,63.072102687587105
